checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00010000	one_mer_nearest_centroid	0	background	32	0.17567567567567569	0.40625	0.24528301886792453	13	61	19
step_00010000	one_mer_nearest_centroid	1	coding	32	0.16666666666666666	0.03125	0.05263157894736842	1	5	31
step_00010000	one_mer_nearest_centroid	2	gene_body	32	0.13333333333333333	0.0625	0.0851063829787234	2	13	30
step_00010000	one_mer_nearest_centroid	3	promoter	32	0.1891891891891892	0.4375	0.2641509433962264	14	60	18
step_00010000	one_mer_nearest_centroid	4	splice	32	0.24242424242424243	0.25	0.24615384615384617	8	25	24
step_00010000	one_mer_nearest_centroid	5	tes	32	0.2	0.0625	0.09523809523809523	2	8	30
step_00010000	one_mer_nearest_centroid	6	utr	32	0.16666666666666666	0.0625	0.09090909090909091	2	10	30
step_00010000	model_embedding_nearest_centroid	0	background	32	0.4	0.8125	0.5360824742268042	26	39	6
step_00010000	model_embedding_nearest_centroid	1	coding	32	0.0	0.0	0.0	0	6	32
step_00010000	model_embedding_nearest_centroid	2	gene_body	32	0.07142857142857142	0.03125	0.043478260869565216	1	13	31
step_00010000	model_embedding_nearest_centroid	3	promoter	32	0.375	0.28125	0.32142857142857145	9	15	23
step_00010000	model_embedding_nearest_centroid	4	splice	32	0.2318840579710145	0.5	0.31683168316831684	16	53	16
step_00010000	model_embedding_nearest_centroid	5	tes	32	0.10526315789473684	0.0625	0.0784313725490196	2	17	30
step_00010000	model_embedding_nearest_centroid	6	utr	32	0.3333333333333333	0.28125	0.3050847457627119	9	18	23
step_00010000	model_region_head_argmax	0	background	32	0.8333333333333334	0.15625	0.2631578947368421	5	1	27
step_00010000	model_region_head_argmax	1	coding	32	0.18181818181818182	0.75	0.2926829268292683	24	108	8
step_00010000	model_region_head_argmax	2	gene_body	32	0.0	0.0	0.0	0	0	32
step_00010000	model_region_head_argmax	3	promoter	32	0.32857142857142857	0.71875	0.45098039215686275	23	47	9
step_00010000	model_region_head_argmax	4	splice	32	0.0	0.0	0.0	0	0	32
step_00010000	model_region_head_argmax	5	tes	32	0.0	0.0	0.0	0	0	32
step_00010000	model_region_head_argmax	6	utr	32	0.5	0.25	0.3333333333333333	8	8	24
