checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00014000	one_mer_nearest_centroid	0	background	16	0.2	0.125	0.15384615384615385	2	8	14
step_00014000	one_mer_nearest_centroid	1	coding	16	0.15384615384615385	0.125	0.13793103448275862	2	11	14
step_00014000	one_mer_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	14	16
step_00014000	one_mer_nearest_centroid	3	promoter	16	0.2222222222222222	0.375	0.27906976744186046	6	21	10
step_00014000	one_mer_nearest_centroid	4	splice	16	0.4	0.125	0.19047619047619047	2	3	14
step_00014000	one_mer_nearest_centroid	5	tes	16	0.0	0.0	0.0	0	8	16
step_00014000	one_mer_nearest_centroid	6	utr	16	0.2571428571428571	0.5625	0.3529411764705882	9	26	7
step_00014000	model_embedding_nearest_centroid	0	background	16	0.36363636363636365	0.5	0.4210526315789474	8	14	8
step_00014000	model_embedding_nearest_centroid	1	coding	16	0.14285714285714285	0.0625	0.08695652173913043	1	6	15
step_00014000	model_embedding_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	10	16
step_00014000	model_embedding_nearest_centroid	3	promoter	16	0.2608695652173913	0.375	0.30769230769230765	6	17	10
step_00014000	model_embedding_nearest_centroid	4	splice	16	0.3157894736842105	0.375	0.34285714285714286	6	13	10
step_00014000	model_embedding_nearest_centroid	5	tes	16	0.2222222222222222	0.125	0.16	2	7	14
step_00014000	model_embedding_nearest_centroid	6	utr	16	0.3181818181818182	0.4375	0.3684210526315789	7	15	9
step_00014000	model_region_head_argmax	0	background	16	1.0	0.125	0.2222222222222222	2	0	14
step_00014000	model_region_head_argmax	1	coding	16	0.19402985074626866	0.8125	0.3132530120481928	13	54	3
step_00014000	model_region_head_argmax	2	gene_body	16	1.0	0.0625	0.11764705882352941	1	0	15
step_00014000	model_region_head_argmax	3	promoter	16	0.25925925925925924	0.4375	0.3255813953488372	7	20	9
step_00014000	model_region_head_argmax	4	splice	16	0.25	0.0625	0.1	1	3	15
step_00014000	model_region_head_argmax	5	tes	16	0.0	0.0	0.0	0	0	16
step_00014000	model_region_head_argmax	6	utr	16	0.5454545454545454	0.375	0.4444444444444444	6	5	10
