checkpoint	method	true_class_id	true_class_name	pred_class_id	pred_class_name	count
step_00007000	model_embedding_nearest_centroid	5	tes	2	gene_body	3
step_00007000	model_embedding_nearest_centroid	5	tes	3	promoter	2
step_00007000	model_embedding_nearest_centroid	5	tes	4	splice	11
step_00007000	model_embedding_nearest_centroid	5	tes	5	tes	4
step_00007000	model_embedding_nearest_centroid	5	tes	6	utr	4
step_00007000	model_embedding_nearest_centroid	6	utr	0	background	2
step_00007000	model_embedding_nearest_centroid	6	utr	1	coding	1
step_00007000	model_embedding_nearest_centroid	6	utr	2	gene_body	2
step_00007000	model_embedding_nearest_centroid	6	utr	3	promoter	3
step_00007000	model_embedding_nearest_centroid	6	utr	4	splice	11
step_00007000	model_embedding_nearest_centroid	6	utr	5	tes	3
step_00007000	model_embedding_nearest_centroid	6	utr	6	utr	10
step_00007000	model_region_head_argmax	0	background	0	background	1
step_00007000	model_region_head_argmax	0	background	1	coding	5
step_00007000	model_region_head_argmax	0	background	2	gene_body	0
step_00007000	model_region_head_argmax	0	background	3	promoter	25
step_00007000	model_region_head_argmax	0	background	4	splice	0
step_00007000	model_region_head_argmax	0	background	5	tes	0
step_00007000	model_region_head_argmax	0	background	6	utr	1
step_00007000	model_region_head_argmax	1	coding	0	background	0
step_00007000	model_region_head_argmax	1	coding	1	coding	25
step_00007000	model_region_head_argmax	1	coding	2	gene_body	0
step_00007000	model_region_head_argmax	1	coding	3	promoter	1
step_00007000	model_region_head_argmax	1	coding	4	splice	0
step_00007000	model_region_head_argmax	1	coding	5	tes	0
step_00007000	model_region_head_argmax	1	coding	6	utr	6
step_00007000	model_region_head_argmax	2	gene_body	0	background	0
step_00007000	model_region_head_argmax	2	gene_body	1	coding	23
step_00007000	model_region_head_argmax	2	gene_body	2	gene_body	0
step_00007000	model_region_head_argmax	2	gene_body	3	promoter	6
step_00007000	model_region_head_argmax	2	gene_body	4	splice	0
step_00007000	model_region_head_argmax	2	gene_body	5	tes	0
step_00007000	model_region_head_argmax	2	gene_body	6	utr	3
step_00007000	model_region_head_argmax	3	promoter	0	background	1
step_00007000	model_region_head_argmax	3	promoter	1	coding	11
step_00007000	model_region_head_argmax	3	promoter	2	gene_body	0
step_00007000	model_region_head_argmax	3	promoter	3	promoter	19
step_00007000	model_region_head_argmax	3	promoter	4	splice	0
step_00007000	model_region_head_argmax	3	promoter	5	tes	0
step_00007000	model_region_head_argmax	3	promoter	6	utr	1
step_00007000	model_region_head_argmax	4	splice	0	background	0
step_00007000	model_region_head_argmax	4	splice	1	coding	26
step_00007000	model_region_head_argmax	4	splice	2	gene_body	0
step_00007000	model_region_head_argmax	4	splice	3	promoter	5
step_00007000	model_region_head_argmax	4	splice	4	splice	0
step_00007000	model_region_head_argmax	4	splice	5	tes	0
step_00007000	model_region_head_argmax	4	splice	6	utr	1
step_00007000	model_region_head_argmax	5	tes	0	background	0
step_00007000	model_region_head_argmax	5	tes	1	coding	26
step_00007000	model_region_head_argmax	5	tes	2	gene_body	0
step_00007000	model_region_head_argmax	5	tes	3	promoter	2
step_00007000	model_region_head_argmax	5	tes	4	splice	0
step_00007000	model_region_head_argmax	5	tes	5	tes	0
step_00007000	model_region_head_argmax	5	tes	6	utr	4
step_00007000	model_region_head_argmax	6	utr	0	background	0
step_00007000	model_region_head_argmax	6	utr	1	coding	19
step_00007000	model_region_head_argmax	6	utr	2	gene_body	0
step_00007000	model_region_head_argmax	6	utr	3	promoter	3
step_00007000	model_region_head_argmax	6	utr	4	splice	0
step_00007000	model_region_head_argmax	6	utr	5	tes	0
step_00007000	model_region_head_argmax	6	utr	6	utr	10
