checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00007000	one_mer_nearest_centroid	0	background	32	0.17567567567567569	0.40625	0.24528301886792453	13	61	19
step_00007000	one_mer_nearest_centroid	1	coding	32	0.16666666666666666	0.03125	0.05263157894736842	1	5	31
step_00007000	one_mer_nearest_centroid	2	gene_body	32	0.13333333333333333	0.0625	0.0851063829787234	2	13	30
step_00007000	one_mer_nearest_centroid	3	promoter	32	0.1891891891891892	0.4375	0.2641509433962264	14	60	18
step_00007000	one_mer_nearest_centroid	4	splice	32	0.24242424242424243	0.25	0.24615384615384617	8	25	24
step_00007000	one_mer_nearest_centroid	5	tes	32	0.2	0.0625	0.09523809523809523	2	8	30
step_00007000	one_mer_nearest_centroid	6	utr	32	0.16666666666666666	0.0625	0.09090909090909091	2	10	30
step_00007000	model_embedding_nearest_centroid	0	background	32	0.45614035087719296	0.8125	0.5842696629213483	26	31	6
step_00007000	model_embedding_nearest_centroid	1	coding	32	0.07142857142857142	0.03125	0.043478260869565216	1	13	31
step_00007000	model_embedding_nearest_centroid	2	gene_body	32	0.15384615384615385	0.0625	0.08888888888888889	2	11	30
step_00007000	model_embedding_nearest_centroid	3	promoter	32	0.375	0.28125	0.32142857142857145	9	15	23
step_00007000	model_embedding_nearest_centroid	4	splice	32	0.23076923076923078	0.46875	0.3092783505154639	15	50	17
step_00007000	model_embedding_nearest_centroid	5	tes	32	0.18181818181818182	0.125	0.14814814814814814	4	18	28
step_00007000	model_embedding_nearest_centroid	6	utr	32	0.3448275862068966	0.3125	0.3278688524590164	10	19	22
step_00007000	model_region_head_argmax	0	background	32	0.5	0.03125	0.058823529411764705	1	1	31
step_00007000	model_region_head_argmax	1	coding	32	0.18518518518518517	0.78125	0.29940119760479045	25	110	7
step_00007000	model_region_head_argmax	2	gene_body	32	0.0	0.0	0.0	0	0	32
step_00007000	model_region_head_argmax	3	promoter	32	0.3114754098360656	0.59375	0.40860215053763443	19	42	13
step_00007000	model_region_head_argmax	4	splice	32	0.0	0.0	0.0	0	0	32
step_00007000	model_region_head_argmax	5	tes	32	0.0	0.0	0.0	0	0	32
step_00007000	model_region_head_argmax	6	utr	32	0.38461538461538464	0.3125	0.3448275862068966	10	16	22
