task_id	task_type	model_id	context	track	seed	best_epoch	validation_threshold	accuracy	precision	recall	specificity	f1	balanced_accuracy	mcc	auroc	auprc	brier	ece	tp	tn	fp	fn	rc_test_samples	rc_cosine_mean	rc_l2_mean	selected_alpha	pearson_macro	spearman_macro	r2_macro	mae_macro	rmse_macro	panel_code
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	13	89	0.5149999999999999	0.791015625	0.7709090909090909	0.828125	0.75390625	0.7984934086629002	0.791015625	0.5836409403212096	0.861785888671875	0.8164433283304385	0.15619275983594302	0.07976470386103077	424	386	126	88	1024	1.0	0.0							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	29	89	0.5149999999999999	0.791015625	0.7709090909090909	0.828125	0.75390625	0.7984934086629002	0.791015625	0.5836409403212096	0.861785888671875	0.8164433283304385	0.15619275983594302	0.07976470386103077	424	386	126	88	1024	1.0	0.0							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	43	89	0.5149999999999999	0.791015625	0.7709090909090909	0.828125	0.75390625	0.7984934086629002	0.791015625	0.5836409403212096	0.861785888671875	0.8164433283304385	0.15619275983594302	0.07976470386103077	424	386	126	88	1024	1.0	0.0							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	71	89	0.5149999999999999	0.791015625	0.7709090909090909	0.828125	0.75390625	0.7984934086629002	0.791015625	0.5836409403212096	0.861785888671875	0.8164433283304385	0.15619275983594302	0.07976470386103077	424	386	126	88	1024	1.0	0.0							A1
splice_donor_acceptor	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	97	89	0.5149999999999999	0.791015625	0.7709090909090909	0.828125	0.75390625	0.7984934086629002	0.791015625	0.5836409403212096	0.861785888671875	0.8164433283304385	0.15619275983594302	0.07976470386103077	424	386	126	88	1024	1.0	0.0							A1
promoter_TSS	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	13	62	0.5325043201446533	0.734375	0.8296703296703297	0.58984375	0.87890625	0.6894977168949771	0.734375	0.4896531831411287	0.8124580383300781	0.8283527557729181	0.19465368117144155	0.13046404225391145	302	450	62	210	1024	1.0	0.0							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	29	62	0.5325043201446533	0.734375	0.8296703296703297	0.58984375	0.87890625	0.6894977168949771	0.734375	0.4896531831411287	0.8124580383300781	0.8283527557729181	0.19465368117144155	0.13046404225391145	302	450	62	210	1024	1.0	0.0							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	43	62	0.5325043201446533	0.734375	0.8296703296703297	0.58984375	0.87890625	0.6894977168949771	0.734375	0.4896531831411287	0.8124580383300781	0.8283527557729181	0.19465368117144155	0.13046404225391145	302	450	62	210	1024	1.0	0.0							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	71	62	0.5325043201446533	0.734375	0.8296703296703297	0.58984375	0.87890625	0.6894977168949771	0.734375	0.4896531831411287	0.8124580383300781	0.8283527557729181	0.19465368117144155	0.13046404225391145	302	450	62	210	1024	1.0	0.0							A2
promoter_TSS	binary	CropGenomeFM_step19000_continuation	512	downstream_cold_genus_pretraining_seen_genus	97	62	0.5325043201446533	0.734375	0.8296703296703297	0.58984375	0.87890625	0.6894977168949771	0.734375	0.4896531831411287	0.8124580383300781	0.8283527557729181	0.19465368117144155	0.13046404225391145	302	450	62	210	1024	1.0	0.0							A2
