checkpoint	checkpoint_step	task_id	mode	method	train_sample_count	eval_sample_count	accuracy	precision	recall	f1	balanced_accuracy	mcc	tp	tn	fp	fn	note
step_00005000	5000	TES_polyA	pilot_proxy_from_stage_b_region_buckets	majority_baseline	256	128	0.50000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	0	64	0	64	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	TES_polyA	pilot_proxy_from_stage_b_region_buckets	one_mer_nearest_centroid	256	128	0.64843750	0.67924528	0.56250000	0.61538462	0.64843750	0.30135960	36	47	17	28	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	TES_polyA	pilot_proxy_from_stage_b_region_buckets	model_embedding_nearest_centroid	256	128	0.85156250	0.83582090	0.87500000	0.85496183	0.85156250	0.70389875	56	53	11	8	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	promoter_TSS	pilot_proxy_from_stage_b_region_buckets	majority_baseline	256	128	0.50000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	0	64	0	64	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	promoter_TSS	pilot_proxy_from_stage_b_region_buckets	one_mer_nearest_centroid	256	128	0.64062500	0.65000000	0.60937500	0.62903226	0.64062500	0.28180093	39	43	21	25	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	promoter_TSS	pilot_proxy_from_stage_b_region_buckets	model_embedding_nearest_centroid	256	128	0.70312500	0.70312500	0.70312500	0.70312500	0.70312500	0.40625000	45	45	19	19	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	splice_acceptor	pilot_proxy_from_stage_b_region_buckets	majority_baseline	256	128	0.50000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	0	64	0	64	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	splice_acceptor	pilot_proxy_from_stage_b_region_buckets	one_mer_nearest_centroid	256	128	0.60156250	0.61403509	0.54687500	0.57851240	0.60156250	0.20435099	35	42	22	29	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00005000	5000	splice_acceptor	pilot_proxy_from_stage_b_region_buckets	model_embedding_nearest_centroid	256	128	0.54687500	0.54166667	0.60937500	0.57352941	0.54687500	0.09449112	39	31	33	25	pilot smoke test only; not formal CropGenome-Bench v1 paper result
