context_bp	task_id	method	primary_metric	value	train_fraction	n_probe_seeds	n_train	n_validation	n_test	evidence_role
2048	TES_polyA	3mer_linear_probe	AUPRC	0.75904278	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	6mer_linear_probe	AUPRC	0.63951115	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	AgroNT_1B	AUPRC	0.90164203	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	Caduceus_PS_131k	AUPRC	0.82485056	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	CropGenomeFM_random_init	AUPRC	0.74316861	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	CropGenomeFM_step14000	AUPRC	0.90642606	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	Evo2_1B_base	AUPRC	0.59212713	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	HyenaDNA_medium_160k	AUPRC	0.83723805	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	NTv2_100M_multi_species	AUPRC	0.85767988	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	PlantCAD2_Small	AUPRC	0.90056088	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	PlantCaduceus_l32	AUPRC	0.90494253	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	central_33bp_linear_probe	AUPRC	0.69973327	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	composition_linear_probe	AUPRC	0.54758139	1.0	5	4096.0	1024	1024	formal_test
2048	TES_polyA	majority_baseline	AUPRC	0.30734086	1.0	1	4096.0	1024	1024	formal_test
2048	promoter_TSS	1mer_linear_probe	AUPRC	0.51079754	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	3mer_linear_probe	AUPRC	0.61712112	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	6mer_linear_probe	AUPRC	0.63719334	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	AgroNT_1B	AUPRC	0.87215905	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	Caduceus_PS_131k	AUPRC	0.80805527	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	CropGenomeFM_random_init	AUPRC	0.75269154	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	CropGenomeFM_step14000	AUPRC	0.88915634	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	Evo2_1B_base	AUPRC	0.61624461	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	HyenaDNA_medium_160k	AUPRC	0.78660263	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	NTv2_100M_multi_species	AUPRC	0.84652631	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	PlantCAD2_Small	AUPRC	0.88234949	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	PlantCaduceus_l32	AUPRC	0.86213616	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	central_33bp_linear_probe	AUPRC	0.72714411	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	composition_linear_probe	AUPRC	0.50971698	1.0	5	4096.0	1024	1024	formal_test
2048	promoter_TSS	majority_baseline	AUPRC	0.30734086	1.0	1	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	1mer_linear_probe	AUPRC	0.59450678	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	3mer_linear_probe	AUPRC	0.62639860	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	6mer_linear_probe	AUPRC	0.58748303	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	AgroNT_1B	AUPRC	0.78045030	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	Caduceus_PS_131k	AUPRC	0.68945359	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	CropGenomeFM_random_init	AUPRC	0.60462812	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	CropGenomeFM_step14000	AUPRC	0.85477662	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	Evo2_1B_base	AUPRC	0.60165045	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	HyenaDNA_medium_160k	AUPRC	0.68963365	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	NTv2_100M_multi_species	AUPRC	0.73435983	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	PlantCAD2_Small	AUPRC	0.76379835	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	PlantCaduceus_l32	AUPRC	0.77679098	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	central_33bp_linear_probe	AUPRC	0.84758873	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	composition_linear_probe	AUPRC	0.64799076	1.0	5	4096.0	1024	1024	formal_test
2048	splice_donor_acceptor	majority_baseline	AUPRC	0.30734086	1.0	1	4096.0	1024	1024	formal_test
8192	TES_polyA	1mer_linear_probe	AUPRC	0.54694802	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	3mer_linear_probe	AUPRC	0.74953743	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	6mer_linear_probe	AUPRC	0.65613248	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	Caduceus_PS_131k	AUPRC	0.85819282	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	CropGenomeFM_random_init	AUPRC	0.80899089	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	CropGenomeFM_step14000	AUPRC	0.90356140	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	Evo2_1B_base	AUPRC	0.52204477	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	HyenaDNA_medium_160k	AUPRC	0.82838360	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	PlantCAD2_Small	AUPRC	0.92572087	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	PlantCaduceus_l32	AUPRC	0.92577577	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	central_33bp_linear_probe	AUPRC	0.69973327	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	composition_linear_probe	AUPRC	0.55332181	1.0	5	4096.0	1024	1024	formal_test
8192	TES_polyA	majority_baseline	AUPRC	0.30734086	1.0	1	4096.0	1024	1024	formal_test
8192	promoter_TSS	1mer_linear_probe	AUPRC	0.51040636	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	3mer_linear_probe	AUPRC	0.69501177	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	6mer_linear_probe	AUPRC	0.60849497	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	Caduceus_PS_131k	AUPRC	0.85742344	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	CropGenomeFM_random_init	AUPRC	0.78751080	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	CropGenomeFM_step14000	AUPRC	0.89837145	1.0	5	4096.0	1024	1024	formal_test
8192	promoter_TSS	Evo2_1B_base	AUPRC	0.55992852	1.0	5	4096.0	1024	1024	formal_test
