panel	context_bp	metric	our_value	best_current_plant_baseline	best_current_plant_value	gap_vs_best_plant	best_current_public_baseline	best_current_public_value	gap_vs_best_public	current_call	NTv2_500M_status	next_release_rule
core_3_task_macro	2048	macro AUPRC	0.88345301	AgroNT_1B	0.85141713	+0.03203588	AgroNT_1B	0.85141713	+0.03203588	leads_current_evaluated_plant_baselines	planned_not_evaluated; no current result	common task noninferiority: paired/group-bootstrap 95% CI lower bound > -0.02 AUPRC
core_3_task_macro	512	macro AUPRC	0.83275809	PlantCAD2_Small	0.84499447	-0.01223638	PlantCAD2_Small	0.84499447	-0.01223638	near_parity_point_estimate; formal noninferiority still requires paired CI	planned_not_evaluated; no current result	common task noninferiority: paired/group-bootstrap 95% CI lower bound > -0.02 AUPRC
core_3_task_macro	8192	macro AUPRC	0.85489774	PlantCaduceus_l32	0.82224536	+0.03265238	PlantCaduceus_l32	0.82224536	+0.03265238	leads_current_evaluated_plant_baselines	planned_not_evaluated; no current result	common task noninferiority: paired/group-bootstrap 95% CI lower bound > -0.02 AUPRC
external_group_macro	512	macro AUPRC	0.73946049	PlantCAD2_Small	0.79955587	-0.06009538	PlantCAD2_Small	0.79955587	-0.06009538	gap_to_close_before_parity_claim	planned_not_evaluated; no current result	common task noninferiority: paired/group-bootstrap 95% CI lower bound > -0.02 AUPRC
external_group_macro	512	macro Pearson	0.14477076	PlantCaduceus_l32	0.18322380	-0.03845304	PlantCaduceus_l32	0.18322380	-0.03845304	gap_to_close_before_parity_claim	planned_not_evaluated; no current result	common task noninferiority: paired/group-bootstrap 95% CI lower bound > -0.03 Pearson
external_group_macro	6000	macro AUPRC	0.76965463	PlantCAD2_Small	0.80076673	-0.03111210	PlantCAD2_Small	0.80076673	-0.03111210	gap_to_close_before_parity_claim	planned_not_evaluated; no current result	common task noninferiority: paired/group-bootstrap 95% CI lower bound > -0.02 AUPRC
external_group_macro	6000	macro Pearson	0.56925977	PlantCaduceus_l32	0.59715188	-0.02789211	PlantCaduceus_l32	0.59715188	-0.02789211	near_parity_point_estimate; formal noninferiority still requires paired CI	planned_not_evaluated; no current result	common task noninferiority: paired/group-bootstrap 95% CI lower bound > -0.03 Pearson
