context_bp	task_id	task_type	model_id	primary_metric	value	n_train	n_validation	n_test	selected_ridge_alpha	evidence_role
512	gene_expression_arabidopsis_thaliana	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.03091080	25728	3399	3402	0.001	formal_test
512	gene_expression_glycine_max	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.11544878	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.06520928	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.23163294	27307	3826	3827	0.1	formal_test
512	gene_expression_zea_mays	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.12001207	34487	4482	4483	1.0	formal_test
512	lncrna_multispecies	binary	HyenaDNA_medium_160k	AUPRC	0.61984204	45588	5112	6095		formal_test
6000	enhancer_cassava_proseq	binary	HyenaDNA_medium_160k	AUPRC	0.70332027	16852	1229	812		formal_test
6000	gene_expression_arabidopsis_thaliana	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.49669850	25728	3399	3402	10.0	formal_test
6000	gene_expression_glycine_max	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.51635547	47105	4801	4803	10.0	formal_test
6000	gene_expression_oryza_sativa	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.44553212	31224	3700	3702	1.0	formal_test
6000	gene_expression_solanum_lycopersicum	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.49417841	27307	3826	3827	0.01	formal_test
6000	gene_expression_zea_mays	multi_regression	HyenaDNA_medium_160k	macro Pearson	0.45771667	34487	4482	4483	0.1	formal_test
6000	lncrna_multispecies	binary	HyenaDNA_medium_160k	AUPRC	0.62261319	45588	5112	6095		formal_test
512	enhancer_cassava_proseq	binary	AgroNT_1B	AUPRC	0.78559397	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	AgroNT_1B	macro Pearson	0.04388611	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	AgroNT_1B	macro Pearson	0.11350841	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	AgroNT_1B	macro Pearson	0.09672616	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	AgroNT_1B	macro Pearson	0.21134194	27307	3826	3827	100.0	formal_test
512	gene_expression_zea_mays	multi_regression	AgroNT_1B	macro Pearson	0.14793874	34487	4482	4483	100.0	formal_test
512	lncrna_multispecies	binary	AgroNT_1B	AUPRC	0.65615194	45588	5112	6095		formal_test
