checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00015000	one_mer_nearest_centroid	0	background	16	0.2	0.125	0.15384615384615385	2	8	14
step_00015000	one_mer_nearest_centroid	1	coding	16	0.15384615384615385	0.125	0.13793103448275862	2	11	14
step_00015000	one_mer_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	14	16
step_00015000	one_mer_nearest_centroid	3	promoter	16	0.2222222222222222	0.375	0.27906976744186046	6	21	10
step_00015000	one_mer_nearest_centroid	4	splice	16	0.4	0.125	0.19047619047619047	2	3	14
step_00015000	one_mer_nearest_centroid	5	tes	16	0.0	0.0	0.0	0	8	16
step_00015000	one_mer_nearest_centroid	6	utr	16	0.2571428571428571	0.5625	0.3529411764705882	9	26	7
step_00015000	model_embedding_nearest_centroid	0	background	16	0.3684210526315789	0.4375	0.39999999999999997	7	12	9
step_00015000	model_embedding_nearest_centroid	1	coding	16	0.16	0.25	0.19512195121951217	4	21	12
step_00015000	model_embedding_nearest_centroid	2	gene_body	16	0.18181818181818182	0.125	0.14814814814814814	2	9	14
step_00015000	model_embedding_nearest_centroid	3	promoter	16	0.2692307692307692	0.4375	0.33333333333333337	7	19	9
step_00015000	model_embedding_nearest_centroid	4	splice	16	0.6666666666666666	0.125	0.21052631578947367	2	1	14
step_00015000	model_embedding_nearest_centroid	5	tes	16	0.18181818181818182	0.125	0.14814814814814814	2	9	14
step_00015000	model_embedding_nearest_centroid	6	utr	16	0.35294117647058826	0.375	0.3636363636363636	6	11	10
step_00015000	model_region_head_argmax	0	background	16	0.0	0.0	0.0	0	0	16
step_00015000	model_region_head_argmax	1	coding	16	0.17857142857142858	0.9375	0.30000000000000004	15	69	1
step_00015000	model_region_head_argmax	2	gene_body	16	0.0	0.0	0.0	0	0	16
step_00015000	model_region_head_argmax	3	promoter	16	0.15789473684210525	0.1875	0.17142857142857143	3	16	13
step_00015000	model_region_head_argmax	4	splice	16	1.0	0.0625	0.11764705882352941	1	0	15
step_00015000	model_region_head_argmax	5	tes	16	0.0	0.0	0.0	0	0	16
step_00015000	model_region_head_argmax	6	utr	16	0.5	0.25	0.3333333333333333	4	4	12
