checkpoint	checkpoint_step	task_id	mode	method	train_sample_count	eval_sample_count	accuracy	precision	recall	f1	balanced_accuracy	mcc	tp	tn	fp	fn	note
step_00006000	6000	TES_polyA	pilot_proxy_from_stage_b_region_buckets	majority_baseline	256	128	0.50000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	0	64	0	64	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	TES_polyA	pilot_proxy_from_stage_b_region_buckets	one_mer_nearest_centroid	256	128	0.64843750	0.67924528	0.56250000	0.61538462	0.64843750	0.30135960	36	47	17	28	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	TES_polyA	pilot_proxy_from_stage_b_region_buckets	model_embedding_nearest_centroid	256	128	0.86718750	0.85074627	0.89062500	0.87022901	0.86718750	0.73518314	57	54	10	7	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	promoter_TSS	pilot_proxy_from_stage_b_region_buckets	majority_baseline	256	128	0.50000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	0	64	0	64	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	promoter_TSS	pilot_proxy_from_stage_b_region_buckets	one_mer_nearest_centroid	256	128	0.64062500	0.65000000	0.60937500	0.62903226	0.64062500	0.28180093	39	43	21	25	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	promoter_TSS	pilot_proxy_from_stage_b_region_buckets	model_embedding_nearest_centroid	256	128	0.71875000	0.72580645	0.70312500	0.71428571	0.71875000	0.43771378	45	47	17	19	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	splice_acceptor	pilot_proxy_from_stage_b_region_buckets	majority_baseline	256	128	0.50000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	0	64	0	64	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	splice_acceptor	pilot_proxy_from_stage_b_region_buckets	one_mer_nearest_centroid	256	128	0.60156250	0.61403509	0.54687500	0.57851240	0.60156250	0.20435099	35	42	22	29	pilot smoke test only; not formal CropGenome-Bench v1 paper result
step_00006000	6000	splice_acceptor	pilot_proxy_from_stage_b_region_buckets	model_embedding_nearest_centroid	256	128	0.55468750	0.54794521	0.62500000	0.58394161	0.55468750	0.11047278	40	31	33	24	pilot smoke test only; not formal CropGenome-Bench v1 paper result
