checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00006000	one_mer_nearest_centroid	0	background	32	0.17567567567567569	0.40625	0.24528301886792453	13	61	19
step_00006000	one_mer_nearest_centroid	1	coding	32	0.16666666666666666	0.03125	0.05263157894736842	1	5	31
step_00006000	one_mer_nearest_centroid	2	gene_body	32	0.13333333333333333	0.0625	0.0851063829787234	2	13	30
step_00006000	one_mer_nearest_centroid	3	promoter	32	0.1891891891891892	0.4375	0.2641509433962264	14	60	18
step_00006000	one_mer_nearest_centroid	4	splice	32	0.24242424242424243	0.25	0.24615384615384617	8	25	24
step_00006000	one_mer_nearest_centroid	5	tes	32	0.2	0.0625	0.09523809523809523	2	8	30
step_00006000	one_mer_nearest_centroid	6	utr	32	0.16666666666666666	0.0625	0.09090909090909091	2	10	30
step_00006000	model_embedding_nearest_centroid	0	background	32	0.4482758620689655	0.8125	0.5777777777777777	26	32	6
step_00006000	model_embedding_nearest_centroid	1	coding	32	0.0	0.0	0.0	0	7	32
step_00006000	model_embedding_nearest_centroid	2	gene_body	32	0.21052631578947367	0.125	0.1568627450980392	4	15	28
step_00006000	model_embedding_nearest_centroid	3	promoter	32	0.28	0.21875	0.2456140350877193	7	18	25
step_00006000	model_embedding_nearest_centroid	4	splice	32	0.21052631578947367	0.5	0.2962962962962963	16	60	16
step_00006000	model_embedding_nearest_centroid	5	tes	32	0.0	0.0	0.0	0	13	32
step_00006000	model_embedding_nearest_centroid	6	utr	32	0.38461538461538464	0.3125	0.3448275862068966	10	16	22
step_00006000	model_region_head_argmax	0	background	32	0.8888888888888888	0.5	0.64	16	2	16
step_00006000	model_region_head_argmax	1	coding	32	0.17006802721088435	0.78125	0.27932960893854747	25	122	7
step_00006000	model_region_head_argmax	2	gene_body	32	0.0	0.0	0.0	0	0	32
step_00006000	model_region_head_argmax	3	promoter	32	0.3235294117647059	0.34375	0.33333333333333337	11	23	21
step_00006000	model_region_head_argmax	4	splice	32	0.0	0.0	0.0	0	0	32
step_00006000	model_region_head_argmax	5	tes	32	0.0	0.0	0.0	0	0	32
step_00006000	model_region_head_argmax	6	utr	32	0.32	0.25	0.2807017543859649	8	17	24
