checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00013000	one_mer_nearest_centroid	0	background	16	0.2	0.125	0.15384615384615385	2	8	14
step_00013000	one_mer_nearest_centroid	1	coding	16	0.15384615384615385	0.125	0.13793103448275862	2	11	14
step_00013000	one_mer_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	14	16
step_00013000	one_mer_nearest_centroid	3	promoter	16	0.2222222222222222	0.375	0.27906976744186046	6	21	10
step_00013000	one_mer_nearest_centroid	4	splice	16	0.4	0.125	0.19047619047619047	2	3	14
step_00013000	one_mer_nearest_centroid	5	tes	16	0.0	0.0	0.0	0	8	16
step_00013000	one_mer_nearest_centroid	6	utr	16	0.2571428571428571	0.5625	0.3529411764705882	9	26	7
step_00013000	model_embedding_nearest_centroid	0	background	16	0.35	0.4375	0.38888888888888884	7	13	9
step_00013000	model_embedding_nearest_centroid	1	coding	16	0.14285714285714285	0.0625	0.08695652173913043	1	6	15
step_00013000	model_embedding_nearest_centroid	2	gene_body	16	0.07692307692307693	0.0625	0.06896551724137931	1	12	15
step_00013000	model_embedding_nearest_centroid	3	promoter	16	0.2608695652173913	0.375	0.30769230769230765	6	17	10
step_00013000	model_embedding_nearest_centroid	4	splice	16	0.3	0.375	0.33333333333333326	6	14	10
step_00013000	model_embedding_nearest_centroid	5	tes	16	0.2	0.125	0.15384615384615385	2	8	14
step_00013000	model_embedding_nearest_centroid	6	utr	16	0.2631578947368421	0.3125	0.2857142857142857	5	14	11
step_00013000	model_region_head_argmax	0	background	16	1.0	0.125	0.2222222222222222	2	0	14
step_00013000	model_region_head_argmax	1	coding	16	0.18867924528301888	0.625	0.2898550724637681	10	43	6
step_00013000	model_region_head_argmax	2	gene_body	16	0.4	0.125	0.19047619047619047	2	3	14
step_00013000	model_region_head_argmax	3	promoter	16	0.15789473684210525	0.1875	0.17142857142857143	3	16	13
step_00013000	model_region_head_argmax	4	splice	16	0.2608695652173913	0.375	0.30769230769230765	6	17	10
step_00013000	model_region_head_argmax	5	tes	16	0.0	0.0	0.0	0	0	16
step_00013000	model_region_head_argmax	6	utr	16	0.3	0.1875	0.23076923076923075	3	7	13
