checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00005000	one_mer_nearest_centroid	0	background	32	0.17567567567567569	0.40625	0.24528301886792453	13	61	19
step_00005000	one_mer_nearest_centroid	1	coding	32	0.16666666666666666	0.03125	0.05263157894736842	1	5	31
step_00005000	one_mer_nearest_centroid	2	gene_body	32	0.13333333333333333	0.0625	0.0851063829787234	2	13	30
step_00005000	one_mer_nearest_centroid	3	promoter	32	0.1891891891891892	0.4375	0.2641509433962264	14	60	18
step_00005000	one_mer_nearest_centroid	4	splice	32	0.24242424242424243	0.25	0.24615384615384617	8	25	24
step_00005000	one_mer_nearest_centroid	5	tes	32	0.2	0.0625	0.09523809523809523	2	8	30
step_00005000	one_mer_nearest_centroid	6	utr	32	0.16666666666666666	0.0625	0.09090909090909091	2	10	30
step_00005000	model_embedding_nearest_centroid	0	background	32	0.4727272727272727	0.8125	0.5977011494252874	26	29	6
step_00005000	model_embedding_nearest_centroid	1	coding	32	0.0625	0.03125	0.041666666666666664	1	15	31
step_00005000	model_embedding_nearest_centroid	2	gene_body	32	0.2	0.0625	0.09523809523809523	2	8	30
step_00005000	model_embedding_nearest_centroid	3	promoter	32	0.3333333333333333	0.28125	0.3050847457627119	9	18	23
step_00005000	model_embedding_nearest_centroid	4	splice	32	0.20833333333333334	0.46875	0.28846153846153844	15	57	17
step_00005000	model_embedding_nearest_centroid	5	tes	32	0.2222222222222222	0.125	0.16	4	14	28
step_00005000	model_embedding_nearest_centroid	6	utr	32	0.38461538461538464	0.3125	0.3448275862068966	10	16	22
step_00005000	model_region_head_argmax	0	background	32	0.75	0.09375	0.16666666666666666	3	1	29
step_00005000	model_region_head_argmax	1	coding	32	0.1724137931034483	0.78125	0.2824858757062147	25	120	7
step_00005000	model_region_head_argmax	2	gene_body	32	0.0	0.0	0.0	0	0	32
step_00005000	model_region_head_argmax	3	promoter	32	0.32432432432432434	0.375	0.34782608695652173	12	25	20
step_00005000	model_region_head_argmax	4	splice	32	0.0	0.0	0.0	0	0	32
step_00005000	model_region_head_argmax	5	tes	32	0.0	0.0	0.0	0	0	32
step_00005000	model_region_head_argmax	6	utr	32	0.2894736842105263	0.34375	0.3142857142857143	11	27	21
