checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00016000	one_mer_nearest_centroid	0	background	16	0.2	0.125	0.15384615384615385	2	8	14
step_00016000	one_mer_nearest_centroid	1	coding	16	0.15384615384615385	0.125	0.13793103448275862	2	11	14
step_00016000	one_mer_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	14	16
step_00016000	one_mer_nearest_centroid	3	promoter	16	0.2222222222222222	0.375	0.27906976744186046	6	21	10
step_00016000	one_mer_nearest_centroid	4	splice	16	0.4	0.125	0.19047619047619047	2	3	14
step_00016000	one_mer_nearest_centroid	5	tes	16	0.0	0.0	0.0	0	8	16
step_00016000	one_mer_nearest_centroid	6	utr	16	0.2571428571428571	0.5625	0.3529411764705882	9	26	7
step_00016000	model_embedding_nearest_centroid	0	background	16	0.30434782608695654	0.4375	0.358974358974359	7	16	9
step_00016000	model_embedding_nearest_centroid	1	coding	16	0.3333333333333333	0.1875	0.24000000000000005	3	6	13
step_00016000	model_embedding_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	13	16
step_00016000	model_embedding_nearest_centroid	3	promoter	16	0.2413793103448276	0.4375	0.3111111111111111	7	22	9
step_00016000	model_embedding_nearest_centroid	4	splice	16	0.3888888888888889	0.4375	0.411764705882353	7	11	9
step_00016000	model_embedding_nearest_centroid	5	tes	16	0.2	0.0625	0.09523809523809523	1	4	15
step_00016000	model_embedding_nearest_centroid	6	utr	16	0.26666666666666666	0.25	0.2580645161290323	4	11	12
step_00016000	model_region_head_argmax	0	background	16	1.0	0.125	0.2222222222222222	2	0	14
step_00016000	model_region_head_argmax	1	coding	16	0.16666666666666666	0.8125	0.2765957446808511	13	65	3
step_00016000	model_region_head_argmax	2	gene_body	16	0.0	0.0	0.0	0	0	16
step_00016000	model_region_head_argmax	3	promoter	16	0.29411764705882354	0.3125	0.30303030303030304	5	12	11
step_00016000	model_region_head_argmax	4	splice	16	0.4444444444444444	0.25	0.32	4	5	12
step_00016000	model_region_head_argmax	5	tes	16	0.0	0.0	0.0	0	0	16
step_00016000	model_region_head_argmax	6	utr	16	0.6666666666666666	0.25	0.36363636363636365	4	2	12
