checkpoint	method	class_id	class_name	support	precision	recall	f1	tp	fp	fn
step_00012000	one_mer_nearest_centroid	0	background	16	0.2	0.125	0.15384615384615385	2	8	14
step_00012000	one_mer_nearest_centroid	1	coding	16	0.15384615384615385	0.125	0.13793103448275862	2	11	14
step_00012000	one_mer_nearest_centroid	2	gene_body	16	0.0	0.0	0.0	0	14	16
step_00012000	one_mer_nearest_centroid	3	promoter	16	0.2222222222222222	0.375	0.27906976744186046	6	21	10
step_00012000	one_mer_nearest_centroid	4	splice	16	0.4	0.125	0.19047619047619047	2	3	14
step_00012000	one_mer_nearest_centroid	5	tes	16	0.0	0.0	0.0	0	8	16
step_00012000	one_mer_nearest_centroid	6	utr	16	0.2571428571428571	0.5625	0.3529411764705882	9	26	7
step_00012000	model_embedding_nearest_centroid	0	background	16	0.4444444444444444	0.5	0.47058823529411764	8	10	8
step_00012000	model_embedding_nearest_centroid	1	coding	16	0.1111111111111111	0.0625	0.08	1	8	15
step_00012000	model_embedding_nearest_centroid	2	gene_body	16	0.08333333333333333	0.0625	0.07142857142857144	1	11	15
step_00012000	model_embedding_nearest_centroid	3	promoter	16	0.2608695652173913	0.375	0.30769230769230765	6	17	10
step_00012000	model_embedding_nearest_centroid	4	splice	16	0.3	0.375	0.33333333333333326	6	14	10
step_00012000	model_embedding_nearest_centroid	5	tes	16	0.42857142857142855	0.1875	0.26086956521739124	3	4	13
step_00012000	model_embedding_nearest_centroid	6	utr	16	0.21739130434782608	0.3125	0.2564102564102564	5	18	11
step_00012000	model_region_head_argmax	0	background	16	0.0	0.0	0.0	0	0	16
step_00012000	model_region_head_argmax	1	coding	16	0.1527777777777778	0.6875	0.25000000000000006	11	61	5
step_00012000	model_region_head_argmax	2	gene_body	16	0.0	0.0	0.0	0	0	16
step_00012000	model_region_head_argmax	3	promoter	16	0.16129032258064516	0.3125	0.2127659574468085	5	26	11
step_00012000	model_region_head_argmax	4	splice	16	0.5	0.0625	0.1111111111111111	1	1	15
step_00012000	model_region_head_argmax	5	tes	16	0.0	0.0	0.0	0	0	16
step_00012000	model_region_head_argmax	6	utr	16	0.2857142857142857	0.125	0.17391304347826086	2	5	14
