metric	train_points	val_points	latest_train_step	latest_train_value	latest_val_step	latest_val_value	png
loss	2610	26	40100	1.0544824	40000	1.0621566	figures/stage_b_continuation_loss.png
selection_loss	2610	26	40100	0.98860988	40000	0.99513048	figures/stage_b_continuation_selection_loss.png
