metric	train_points	val_points	latest_train_step	latest_train_value	latest_val_step	latest_val_value	png
loss	152	3	1520	0.99283656	1500	0.96674064	figures/stage_c1_all_lengths_loss.png
selection_loss	152	3	1520	0.92767595	1500	0.90562637	figures/stage_c1_all_lengths_selection_loss.png
