step	split	lr	loss	mlm_loss	rc_loss	selection_loss	region_loss	region_acc	region_valid_count
10	train	4.0000000000000003e-07	0.9362881056827383	0.8384529687410008	0.23215104267001152	0.843095989594401	1.8638423217667475	0.2222222222222222	9.0
20	train	8.000000000000001e-07	1.0512393978663843	0.9588895725636245	0.16976654529571533	0.9622849034695388	1.77908988793691	0.16666666666666666	12.0
30	train	1.2000000000000002e-06	0.8521986718254001	0.7875680598560351	0.25977347791194916	0.7927635294142741	1.1887028482225206	0.6666666666666666	9.0
40	train	1.6000000000000001e-06	0.8519619875044486	0.7521887187054616	0.255840465426445	0.7573055280139904	1.8931291898091633	0.16666666666666666	6.0
50	train	2e-06	0.8429697673626034	0.7678372460379159	0.25344833731651306	0.7729062127842462	1.4012710915671454	0.7777777777777778	9.0
60	train	2.4000000000000003e-06	1.029233014233614	0.9490651909901416	0.17188796773552895	0.9525029503448522	1.5346012777752347	0.3888888888888889	18.0
70	train	2.8000000000000003e-06	1.0603565589735064	0.9632062032635827	0.18287593126296997	0.9668637218888422	1.8698567416932848	0.1111111111111111	9.0
80	train	3.2000000000000003e-06	0.9821576756069101	0.8959522296815154	0.225613663593928	0.900464502953394	1.6338634530703227	0.43333333333333335	30.0
90	train	3.6000000000000003e-06	0.972338272493014	0.878924956655432	0.2035753739376863	0.8829964641341858	1.7868361671765645	0.3333333333333333	24.0
100	train	4e-06	1.004557749774847	0.9286719013553131	0.17792649815479913	0.9322304313184091	1.446546369128757	0.3333333333333333	9.0
110	train	4.4e-06	1.1051132721487218	1.0235045526210005	0.16389727095762888	1.026782498040153	1.5666154821713765	0.4166666666666667	24.0
120	train	4.800000000000001e-06	0.78335130720659	0.7066802389962972	0.24405595908562341	0.7115613581780097	1.4357989805716056	0.48148148148148145	27.0
130	train	5.200000000000001e-06	1.011835852410984	0.9238714041775385	0.19634529451529184	0.9277983100678444	1.680750846862793	0.3333333333333333	18.0
140	train	5.600000000000001e-06	0.9383763826254259	0.8668961421016108	0.26090756555398303	0.8721142934126904	1.32524178425471	0.6666666666666666	18.0
