checkpoint	checkpoint_step	task	eval_split	method	train_sample_count	eval_sample_count	accuracy	macro_f1	balanced_accuracy	note
step_00011000	11000	full_region_annotation_probe	val	model_embedding_nearest_centroid	112	112	0.25000000	0.22972028	0.25000000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00011000	11000	full_region_annotation_probe	val	model_region_head_argmax	112	112	0.18750000	0.14781762	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00011000	11000	full_region_annotation_probe	val	one_mer_nearest_centroid	112	112	0.18750000	0.15918062	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00012000	12000	full_region_annotation_probe	val	model_embedding_nearest_centroid	112	112	0.26785714	0.25433175	0.26785714	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00012000	12000	full_region_annotation_probe	val	model_region_head_argmax	112	112	0.16964286	0.10682716	0.16964286	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00012000	12000	full_region_annotation_probe	val	one_mer_nearest_centroid	112	112	0.18750000	0.15918062	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00013000	13000	full_region_annotation_probe	val	model_embedding_nearest_centroid	112	112	0.25000000	0.23219957	0.25000000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00013000	13000	full_region_annotation_probe	val	model_region_head_argmax	112	112	0.23214286	0.20177766	0.23214286	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00013000	13000	full_region_annotation_probe	val	one_mer_nearest_centroid	112	112	0.18750000	0.15918062	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00014000	14000	full_region_annotation_probe	val	model_embedding_nearest_centroid	112	112	0.26785714	0.24099709	0.26785714	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00014000	14000	full_region_annotation_probe	val	model_region_head_argmax	112	112	0.26785714	0.21759259	0.26785714	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00014000	14000	full_region_annotation_probe	val	one_mer_nearest_centroid	112	112	0.18750000	0.15918062	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00015000	15000	full_region_annotation_probe	val	model_embedding_nearest_centroid	112	112	0.26785714	0.25698775	0.26785714	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00015000	15000	full_region_annotation_probe	val	model_region_head_argmax	112	112	0.20535714	0.13177271	0.20535714	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00015000	15000	full_region_annotation_probe	val	one_mer_nearest_centroid	112	112	0.18750000	0.15918062	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00016000	16000	full_region_annotation_probe	val	model_embedding_nearest_centroid	112	112	0.25892857	0.23930754	0.25892857	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00016000	16000	full_region_annotation_probe	val	model_region_head_argmax	112	112	0.25000000	0.21221209	0.25000000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00016000	16000	full_region_annotation_probe	val	one_mer_nearest_centroid	112	112	0.18750000	0.15918062	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00017000	17000	full_region_annotation_probe	val	model_embedding_nearest_centroid	112	112	0.30357143	0.30295998	0.30357143	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00017000	17000	full_region_annotation_probe	val	model_region_head_argmax	112	112	0.34821429	0.32130998	0.34821429	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00017000	17000	full_region_annotation_probe	val	one_mer_nearest_centroid	112	112	0.18750000	0.15918062	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
