version_id	checkpoint	checkpoint_step	task	probe	method	split	train_n	test_n	train_per_class_requested	test_per_class_requested	max_seq_len	accuracy	macro_f1	balanced_accuracy	note
v1_backbone_stageB_step5000	training_server_transfer/runs/Stage_B/checkpoints/step_00005000.pt	5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding	train_prototypes_to_test	56	56	8	8	512	0.232143	0.188456	0.232143	first_pass_cpu_bounded_8_per_class_512bp
v1_backbone_stageB_step5000	training_server_transfer/runs/Stage_B/checkpoints/step_00005000.pt	5000	region_bucket_classification	nearest_centroid	1-mer composition baseline	train_prototypes_to_test	56	56	8	8	512	0.196429	0.153571	0.196429	first_pass_cpu_bounded_8_per_class_512bp
